gene_name,uniprot,hgnc_symbol,ensembl
IL1RL1,Q01638,IL1RL1,ENSG00000115602
IL1RL2,Q9HB29,IL1RL2,ENSG00000115598
IL1RN,P18510,IL1RN,ENSG00000136689
IL2,P60568,IL2,ENSG00000109471
IL20,Q9NYY1,IL20,ENSG00000162891
IL20RA,Q9UHF4,IL20RA,ENSG00000016402
IL20RB,Q6UXL0,IL20RB,ENSG00000174564
IL21,Q9HBE4,IL21,ENSG00000138684
IL21R,Q9HBE5,IL21R,ENSG00000103522
IL22,Q9GZX6,IL22,ENSG00000127318
IL22RA1,Q8N6P7,IL22RA1,ENSG00000142677
IL24,Q13007,IL24,ENSG00000162892
IL25,Q9H293,IL25,ENSG00000166090
IL26,Q9NPH9,IL26,ENSG00000111536
IL2RA,P01589,IL2RA,ENSG00000134460
IL2RB,P14784,IL2RB,ENSG00000100385
IL2RG,P31785,IL2RG,ENSG00000147168
IL3,P08700,IL3,ENSG00000164399
IL33,O95760,IL33,ENSG00000137033
IL34,Q6ZMJ4,IL34,ENSG00000157368
IL36A,Q9UHA7,IL36A,ENSG00000136694
IL36B,Q9NZH7,IL36B,ENSG00000136696
IL36G,Q9NZH8,IL36G,ENSG00000136688
IL36RN,Q9UBH0,IL36RN,ENSG00000136695
IL37,Q9NZH6,IL37,ENSG00000125571
IL3RA,P26951,IL3RA,ENSG00000185291
IL4,P05112,IL4,ENSG00000113520
IL4R,P24394,IL4R,ENSG00000077238
IL5,P05113,IL5,ENSG00000113525
IL5RA,Q01344,IL5RA,ENSG00000091181
IL6,P05231,IL6,ENSG00000136244
IL6R,P08887,IL6R,ENSG00000160712
IL6ST,P40189,IL6ST,ENSG00000134352
IL7,P13232,IL7,ENSG00000104432
IL7R,P16871,IL7R,ENSG00000168685
IL9,P15248,IL9,ENSG00000145839
IL9R,Q01113,IL9R,ENSG00000124334
INHBA,P08476,INHBA,ENSG00000122641
INHBB,P09529,INHBB,ENSG00000163083
INHBC,P55103,INHBC,ENSG00000175189
INHBE,P58166,INHBE,ENSG00000139269
INS,P01308,INS,ENSG00000254647
INSR,P06213,INSR,ENSG00000171105
ITGA2,P17301,ITGA2,ENSG00000164171
ITGA2B,P08514,ITGA2B,ENSG00000005961
ITGA3,P26006,ITGA3,ENSG00000005884
ITGA4,P13612,ITGA4,ENSG00000115232
ITGA5,P08648,ITGA5,ENSG00000161638
